ἆ I
προβαίνω V
προβάλλω V
προβασανίζω V
προβασκάνιον N
προβατικός A
πρόβατον N
προβιβάζω V
προβλέπω V
πρόβλημα N
προβλής N
προγίνομαι V
προγινώσκω V
πρόγνωσις N
προγονικός A
πρόγονος N
προγράφω V
πρόδηλος A N
προδηλόω V
προδίδωμι V
προδοσία N
προδότης N
πρόδρομος N A
πρόειμι V
προεκφέρω V
προεξαποστέλλω V
προερέω V
προέρχομαι V
προετοιμάζω V
προηγέομαι V
προηγορέω V
προήγορος N
προήκω V
προθερίζω V
πρόθεσις N
προθυμέομαι V
προθυμία N
πρόθυμος A
προθύμως D
πρόθυρον N
προίημι V
πρόϊμος A
προΐστημι V
προκαθηγέομαι V
προκάθημαι V
προκαθίζω V
προκακόομαι V
προκαλέω V
προκαταλαμβάνω V
προκατασκευάζω V
προκατασκιρρόομαι V
πρόκειμαι V
προκοπή N
προκόπτω V
πρόκρημνος A
προκρίνω V
προκυνέω V
προλαμβάνω V
προλέγω V
προλήνιον N
πρόλοβος N
προμαχέω V
προμαχών N
προμηνύω V
προνοέω V
πρόνοια N
προνομεύω V
προνομή N
προνουμηνία N
προοδηγός N
πρόοιδα V
προοίμιον N
προοράω V
πρόπαππος N
προπάτωρ N
προπέμπω V
προπετής A
προπίπτω V
προπομπή N
προπορεύομαι V
προπράσσω V
προπτύω V
πρόπτωσις N
πρόπυλον N
πρός P D
προσάββατον N
προσαγγέλλω V
προσαγορεύω V
προσάγω V
προσαιτέω V
προσαίτης N
προσαναβαίνω V
προσανάβασις N
προσαναλέγω V
προσαναπαύω V
προσαναπληρόω V
προσανατρέπω V
προσαναφέρω V
προσανοικοδομέομαι V
προσαξιόω V
προσαποθνῄσκω V
προσαπόλλυμι V
προσαποστέλλω V
προσαπωθέω V
προσαρτίως D
προσβαίνω V
προσβάλλω V
πρόσβασις N
προσβλητός A
προσβολή N
προσγελάω V
προσγίνομαι V
προσγράφω V
προσδεκτός A
προσδέχομαι V
προσδέω V
προσδίδωμι V
προσδοκάω V
προσδοκία N
προσεγγίζω V
προσεδρεύω V
προσεδρία N
προσεῖπον V
προσεκκαίω V
προσεμβριμάομαι V
προσεμπίπρημι V
προσενέχομαι V
προσεξηγέομαι V
προσεπικατατείνω V
προσεπιτιμάω V
προσερυθριάω V
προσέρχομαι V
προσέτι D
προσευχή N
προσεύχομαι V
προσεχόντως D
προσέχω V
προσηκόντως D
προσήκω V
προσηλόω V
προσηλυτεύω V
προσήλυτος N
προσημαίνω V
προσημειόομαι V
προσηνής A
πρόσθεμα N
πρόσθεσις N
προσθέω V
προσθλίβω V
προσίημι V
προσκαθίστημι V
πρόσκαιρος A
προσκαίω V
προσκαλέω V
προσκαρτερέω V
προσκαταλείπω V
πρόσκαυμα N
πρόσκειμαι V
προσκεφάλαιον N
προσκήνιον N
πρόσκλησις N
προσκλίνω V
προσκολλάω V
πρόσκομμα N
προσκόπτω V
προσκρούω V
προσκυνέω V
προσκύνησις N
προσκύπτω V
προσκυρόω V
προσλαλέω V
προσλαμβάνω V
προσλογίζομαι V
προσμαρτυρέω V
προσμειδιάω V
προσμένω V
προσμίγνυμι V
προσνέμω V
προσνοέω V
πρόσοδος N
προσοδύρομαι V
προσόζω V
προσοίγνυμι V
προσονομάζω V
προσοράω V
προσοχή N
προσοχθίζω V
προσόχθισμα N
προσοχυρόω V
πρόσοψις N
προσπαίζω V
προσπαρακαλέω V
προσπάσσω V
προσπίπτω V
προσποιέομαι V
προσπορεύομαι V
προσπυρόω V
προσραίνω V
προσσημαίνω V
προσσιελίζω V
προσταγή N
πρόσταγμα N
προσταράσσω V
προστάς N
προστάσσω V
προστατέω V
προστάτης N
προστίθημι V
πρόστιμον N
προσυπομιμνήσκω V
προσυστέλλομαι V
προσυψόω V
προσφαίνομαι V
πρόσφατος A N
προσφάτως D
προσφέρω V
προσφιλής A
προσφορά N
προσφύω V
προσφωνέω V
προσχαίρω V
προσχέω V
προσχράομαι V
πρόσχωμα M N
προσχωρέω V
προσωθέω V
προσωπεῖον N
πρόσωπον N
προτάσσω V
προτείνω V
προτείχισμα N
προτέρημα N
πρότερον A D
πρότερος A
προτίθημι V
προτιμάω V
προτομή N
προτρέπω V
προτρέχω V
προϋπάρχω V
προϋποτάσσω V
προϋφίσταμαι V
προφαίνω V
προφανῶς D
προφασίζομαι V
πρόφασις N
προφασιστικός A
προφέρω V
προφητεία N
προφητεύω V
προφήτης N
προφῆτις N
προφθάνω V
προφυλακή N
προφύλαξ N
προφυλάσσω V
προχαλάω V
προχειρίζομαι V
πρόχειρος A
Πρόχορος Np
προχώρημα N
πρύτανις N
πρώην D
πρωΐ D
πρωΐα N A
πρωΐθεν D
πρώϊμος A
πρωϊνός A
πρώιος N A
πρωρεύς N
πρώσωπον N
πρωταγωνιστής N
πρώταρχος A
πρωτεύω V
πρωτοβαθρέω V
πρωτοβολέω V
πρωτογένημα N
πρωτογενής A
πρωτόγονος A
πρωτοκλίσιον N
πρωτοκουρία N
πρωτολογία N
πρῶτον D
πρωτόπλαστος A
πρῶτος A
πρωτοστάτης N
πρωτοτοκεύω V
πρωτοτοκέω V
πρωτοτόκια N
πρωτότοκος A
πρώτως D
πταῖσμα N
πταίω V
πταρμός N
πτέρνα N
πτέρνη N
πτερνίζω V
πτερνισμός N
πτερόν N
πτεροφεύω V
πτερύγιον N
πτέρυξ N
πτερύσσομαι V
πτερωτός A
πτήσσω V
πτίλος A
πτοέω V
πτόη N
πτόησις N
Πτολεμαϊκός A
Πτολεμαΐς Np
πτύελος N
πτύξις N
πτυχή N
πτύω V
πτῶμα N
πτῶσις N
πτωχεία N
πτωχεύω V
πτωχίζω V
πτωχός N A
πύγαργος N
πυγμή N
πυθμήν N
Πύθων Np
πυκάζω V
πυκνά A D
πυκνός A D
πύλη N
πυλών N
πυλωρός N
πυνθάνομαι V
πυξίον N
πύξος N
πῦρ N
πυρά N
πυραμίς N
πυργόβαρις N
πύργος N
πυρεῖον N
πυρετός N
πυρίζω V
πυρίκαυστος A N
πύρινος A
πυριφλεγής A
πυροβόλος A
πυρόπνους A
πυρός N
πυροφόρος A
πυρόω V
πύρπνοος A
πυρπολέω V
πυρράκης A N
πυρρίζω V
πυρρός A
πυρρόω V
πυρσεύω V
πυρσός N
πυρφόρος A
πυρώδης A
πύρωσις N
πώγων N
πωλέω V
πῶλος N
πώποτε D
πωρόω V
πώς D
πῶς D I X
Ραα Np
Ῥαάβ N
Ρααβια Np
Ρααβιας Np
Ρααια Np
Ραασσων Np
Ρααυ Np
Ραβα Np
Ραβαμαγ Np
Ραββα Np
Ραββαθ Np
Ραββωθ Np
ῥαβδίζω V
ῥάβδος N
Ῥάγαι N
ῥαγάς N
Ῥαγαῦ N
Ραγεμ Np
Ῥάγη N
Ραγμα Np
ῥάγμα N
Ῥάγοι N
Ῥαγουήλ N
Ραγουῆλος Np
ῥάδαμνος N
Ραδδαι Np
ῥᾴδιος A
Ραεμ Np
Ραεμμαθ Np
Ραζις Np
Ραθαμα Np
Ραθαμιν Np
ραθμ N
ῥᾳθυμέω V
ῥᾳθυμία N
Ραια Np
ῥαίνω V
Ῥαιφάν Np
ῥάκος N
ῥακώδης N
Ραμ Np
Ῥαμᾶ N
Ραμαθ Np
Ραμεν Np
Ραμεσσαι Np
Ραμεσσή Np
Ραμια Np
ῥάμμα N
Ραμμαθ Np
Ραμμω Np
ῥάμνος N
Ραμνων Np
Ραμωθ Np
Ρανα Np
ῥανίς N
ῥαντίζω V
ῥαντισμός N
ῥαντός A
Ραουμ Np
Ραούμος Np
ῥαπίζω V
ῥάπισμα N
ῥαπτός A
ῥάπτω V
Ραρα Np
Ρασεφ Np
Ρασια Np
Ρασιμ Np
Ρασσις Np
ῥάσσω V
Ρασων Np
Ραφα Np
Ῥαφαήλ N
Ραφαια Np
Ραφαϊμ Np
Ραφαϊν Np
Ραφακα Np
Ραφες Np
Ραφη Np
Ραφι Np
Ῥαφία N
ῥαφιδευτός A
Ραφιδιν Np
Ραφις Np
Ραφου Np
Ραφων Np
Ῥαχήλ N
ῥάχις N
Ῥαψάκης N
Ραωβ Np
Ραωμ Np
Ῥεβέκκα N
Ρεβες Np
Ρεγμα Np
ῥέγχω V
Ρεελιας Np
Ρεηα Np
Ρεημα Np
Ρεηρωθ Np
Ρεκεμ Np
Ρεκκαθ Np
Ρεκομ Np
Ρεκχα Np
Ρεμαθ Np
ῥεμβασμός N
ῥεμβεύω V
ῥέμβω V
Ρεμμαθ Np
Ρεμμαν Np
Ρεμμας Np
Ρεμμωθ Np
Ρεμμων Np
Ρεμμωνα Np
Ρεμνα Np
Ρεναθ Np
Ρεννα Np
Ρεουμ Np
Ρεσφα Np
ῥεῦμα N
ῥέω V
ῥῆγμα N
ῥήγνυμι V
ῥηγνύω V
Ρηι Np
ῥῆμα N
Ρημωθ Np
ρης N
Ρησαίας Np
ῥῆσις N
Ρησφαρα Np
ῥητίνη N
ῥητός A
Ρηφα Np
Ρηχα Np
Ρηχαβ Np
Ριβα Np
Ριβαι Np
ῥῖγος N
ῥίζα N
ῥιζόω V
ῥίζωμα N
Ῥινοκοροῦρα N
ῥιπίζω V
ῥιπιστός A
ῥιπτέω V
ῥίπτω V
ῥίς N
Ρισων Np
ῥίτωω V
Ριφαθ Np
ῥοά N
ῥόα N
ῥόαξ N
Ροβε Np
Ῥοβοάμ N
Ροβοκ Np
Ῥόδιοι N
Ῥόδιος N
Ροδοκος Np
ῥόδον N
Ῥόδος N
ῥοδοφόρος A
Ρόειμος Np
ῥοιζέω V
ῥοῖζος N A
ῥοίσκος N
Ροκομ Np
Ρομελιας Np
Ρομμα Np
ῥομφαία N
Ροολλαμ Np
ῥόπαλον N
ῥοπή N
Ῥουβήν N
Ρουβηνι Np
Ῥούθ N
Ρουμα Np
ῥοῦς N
Ροωβ Np
Ροωβωθ Np
ῥοών N
Ροως Np
ῥύδη N
ῥυέω V
ῥυθμίζω V
ῥυθμός N
ῥύμη N
ῥύομαι V
ῥυπαρός A
ῥύπος N
ῥύσις N
ῥύστης N
ῥύω V
Ρωγελλιμ Np
Ρωγηλ Np
Ρωκεϊμ Np
Ῥωμαῖος N
ῥωμαλέος A
Ρωμεμθι-ωδ Np
ῥώμη N
Ῥώμη N
ῥώννυμι V
ῥώξ N
ῥωποπώλης N
Ρως Np
Ρωσαι Np
Σααρ Np
Σααρημ Np
Σααρια Np
Σααρις Np
Σαβα Np
Σαβαθα Np
Σαβαθαι Np
Σαβαθος Np
Σαβαι Np
Σαβαϊμ Np
Σαβακαθα Np
Σαβανια Np
Σαβανναιους Np
Σάβαννος Np
Σαβαου Np
Σαβατ Np
Σαβατια Np
σαβαχα N
σαβαώθ N
Σαββαιας Np
Σαββαταιος Np
σαββατίζω V
σάββατον N
Σαβεε Np
σαβεκ N
Σαβερ Np
Σαβευ Np
Σαβηβα Np
Σαβι Np
σαβι N
Σαβια Np
Σαβιν Np
Σαβουδ Np
Σαβχια Np
Σαγαφ Np
σαγή N
σαγήνα N
σαγήνη N
σάγμα N
Σαδαιεμ Np
Σαδδαι Np
Σαδδουκ Np
Σαδδουκαῖος Np
Σάδδουκος Np
σαδη N
σαδημωθ N
σαδηρωθ N
Σαδουχ Np
Σαδώκ Np
Σαδωμ Np
Σαεμηρων Np
Σαθαρβουζανα Np
Σαθουρ Np
Σαθραβουζάνης Np
σαθρός A
σαθρόω V
Σαιζα Np
Σάις Np
Σακαριμ Np
σάκκος N
Σακχαρωνα Np
Σαλά Np
Σαλαβιν Np
Σαλαβωνι Np
Σαλαβωνίτης Np
Σαλαδ Np
Σαλαθιήλ Np
Σαλαμαν Np
Σαλαμανασαρ Np
Σαλαμανασσαρ Np
Σαλαμι Np
Σαλαμια Np
Σαλαμιηλ Np
Σαλαμιν Np
σαλαμιν N
Σαλαμίς Np
Σαλείμ Np
Σαλεμ Np
σαλεύω V
Σαλεφ Np
Σαλη Np
Σαλήμ Np
Σάλημος Np
Σαλθας Np
Σαλθι Np
Σαλι Np
Σαλιμ Np
Σαλιμουθ Np
Σαλισα Np
Σαλλαι Np
Σαλλουμος Np
Σαλμαα Np
Σαλμαν Np
Σαλμανα Np
Σαλμών Np
Σαλμώνη Np
σάλος N
Σαλουια Np
Σαλούμ Np
Σαλπααδ Np
σάλπιγξ N
σαλπίζω V
Σαλω Np
Σαλωμ Np
Σαλώμη Np
Σαλωμιθ Np
Σαλωμωθ Np
Σαλωμών Np
σαλωμών N
Σαλωμῶντα Np
Σαμα Np
Σαμαα Np
Σαμαγωθ Np
Σαμαε Np
Σαμαθ Np
Σαμαθιιμ Np
Σαμαϊ Np
Σαμαια Np
Σαμαίας Np
Σαμαιος Np
Σαμαλα Np
Σαμαλαι Np
Σαμαραθ Np
Σαμαραῖος Np
Σαμαραν Np
Σαμαρανι Np
Σαμάρεια Np
Σαμαρείτης Np
Σαμαρεῖτις Np
Σαμαρι Np
Σαμαρια Np
Σαματος Np
Σαμαχια Np
Σαμαωθ Np
Σαμβρι Np
σαμβύκη N
Σαμεγαρ Np
Σαμερι Np
Σαμες Np
Σαμηρ Np
Σαμι Np
Σαμια Np
Σαμιρ Np
Σαμμα Np
Σαμμαυς Np
Σαμμους Np
Σαμμωθ Np
Σαμοθρᾴκη Np
Σάμος Np
Σαμου Np
Σαμουε Np
Σαμουήλ Np
Σαμουι Np
Σαμουιας Np
Σαμς Np
Σαμσαι Np
Σαμσαῖος Np
Σαμσαρια Np
σαμχ N
Σαμψάμης Np
Σαμψών Np
Σαν Np
Σαναα Np
Σαναας Np
Σαναβαλλατ Np
Σαναβάσσαρος Np
σανδάλιον N
Σανεσαρ Np
Σανι Np
σανίδος N
σανίδωμα N
σανιδωτός A
Σανιρ Np
Σανιωρ Np
Σανσαννα Np
Σαου Np
Σαουια Np
Σαούλ Np
σαουλ N
Σαουλι Np
Σαουρ Np
σαπρία N
σαπρίζω V
Σαπφείρη Np
σάπφειρος N
Σαπφιν Np
σάπφιρος N
Σαρα Np
Σαραα Np
σαράβαρα N
Σαραβια Np
Σαραβιας Np
Σαραδ Np
Σαραδα Np
Σαραθ Np
Σαραθαῖοι Np
Σαραθι Np
Σαραιά Np
Σαραίας Np
Σαρασαδαι Np
Σαρασαρ Np
Σαραφ Np
Σαραφι Np
Σαρβαχα Np
Σαργαριμ Np
Σάρδεις Np
σάρδιον N
σάρδιος N
Σαρεδ Np
Σαρεδι Np
Σαρεθ Np
Σάρεπτα Np
Σαρια Np
Σαριδ Np
Σαριρα Np
Σαριχ Np
σάρκινος A
σαρκοφαγέω V
σαρκοφαγία N
σάρξ N
Σαρου Np
Σαρουια Np
Σαρουιας Np
Σαρούχ Np
Σάρρα Np
Σαρσαθαιος Np
Σαρσουσιν Np
Σαρωθιε Np
Σάρων Np
Σαρωνίτης Np
Σασαβασαρ Np
Σασιμα Np
Σατάν Np
Σατανᾶς Np
Σατι Np
σάτον N
Σατραις Np
σατραπεία N
σατράπης N
σατραπία N
Σαττιν Np
Σαυα Np
Σαυας Np
Σαυη Np
Σαῦλος Np
Σαυναν Np
Σαυνις Np
σαύρα N
Σαυχαῖος Np
Σαυχίτης Np
Σαφ Np
Σαφαθ Np
Σαφαμ Np
Σαφαν Np
Σαφανια Np
Σαφαρ Np
Σαφαραθ Np
Σαφατ Np
Σαφατια Np
Σαφατιας Np
Σαφεκ Np
σαφής A
Σαφθαβηθαεμεκ Np
Σαφθαιβαιθμε Np
Σαφι Np
Σαφιρ Np
Σαφου Np
Σαφυθι Np
Σαφφαν Np
Σαφφωθ Np
σαφφωθ N
Σαφων Np
Σαφωνι Np
σαφῶς D
Σαχανια Np
Σαχαρ Np
Σαχερδονος Np
σαχωλ N
Σαων-εσβι-εμωηδ Np
Σαωχω Np
σβέννυμι V
σβεστικός A
σεαυτοῦ R
Σεβαμα Np
Σεβανι Np
Σεβανια Np
σέβασμα N
Σεβεγων Np
Σεβεε Np
Σεβεκαθα Np
Σεβημα Np
Σεβια Np
σέβομαι V
Σεβοχα Np
Σεβραιμ Np
Σεβωιμ Np
Σεβωιν Np
Σεγουβ Np
Σεδδαδα Np
Σεδδουκ Np
Σεδεκια Np
Σεδεκίας Np
Σεδεκιου Np
Σεδεμ Np
Σεδιουρ Np
Σεδραχ Np
Σεηρα Np
Σεθεννακ Np
σειρά N
Σεϊραμ Np
σειρήν N
σειρήνιος A
σειρομάστης N
Σεϊρωθα Np
σεῖσμα N
σεισμός N
σείω V
Σεκελα Np
Σεκελακ Np
Σεκλαγ Np
Σεκοῦνδος Np
Σελαθι Np
Σελεϊ Np
Σελεϊμ Np
Σελεμι Np
Σελεμια Np
Σελεμιας Np
Σελεμιος Np
Σελεμιου Np
Σελεύκεια Np
Σέλευκος Np
Σελεφ Np
Σεληκ Np
Σεληκαν Np
σελήνη N
σελίς N
Σελλα Np
Σελλημ Np
Σελλημι Np
Σελλης Np
Σελλησα Np
Σελλουμ Np
Σελμανα Np
Σελμων Np
Σελμωνα Np
Σελνα Np
Σελχα Np
Σελωμ Np
Σεμαα Np
Σεμαι Np
Σεμεΐ Np
Σεμεια Np
Σεμείας Np
Σεμεΐν Np
Σεμεϊς Np
Σεμειων Np
Σεμελιας Np
Σεμερων Np
Σεμεων Np
Σεμηρ Np
σεμίδαλις N
Σεμιρα Np
Σεμιραμωθ Np
Σεμιων Np
Σεμμα Np
Σεμμηρ Np
σεμνολογέω V
σεμνός A
σεμνότης N
σεμνῶς D
Σεμριμ Np
Σεμρων Np
Σεμωιθ Np
σεν N
Σεννα Np
Σεννααν Np
Σεννααρ Np
Σενναν Np
Σενναχηρίμ Np
Σεπφαμ Np
Σεπφαμα Np
Σεπφαριμ Np
Σεπφαρουαιν Np
Σεπφωρ Np
Σεπφωρα Np
Σεραδα Np
Σεραρ Np
σεραφιν N
Σέργιος Np
Σερεβιας Np
Σερεδ Np
Σερι Np
Σερούχ Np
Σερραν Np
σερσερωθ N
Σεσαθαν Np
Σεσθηλ Np
Σεσι Np
Σεσσι Np
Σεσσις Np
Σετιρωθα Np
Σετρι Np
σευτλίον N
Σεφ Np
Σεφεθ Np
Σεφεϊ Np
Σεφεκ Np
Σεφηλα Np
Σεφι Np
Σεφινα Np
Σεφνι Np
Σεχενια Np
Σεχενιας Np
Σεχενιου Np
Σεχονιας Np
Σεωριμ Np
Σηα Np
Σηγωρ Np
Σηδανιν Np
Σήθ Np
Σηιρ Np
σηκός N
Σηλαλεφ Np
Σηλι Np
Σηλω Np
Σηλωμ Np
Σηλων Np
Σηλωνι Np
Σηλωνίτης Np
Σήμ Np
σημαία N
σημαίνω V
σημασία N
σημέα N
σημεῖον N
σημειόω V
σημείωσις N
σήμερον D
Σην Np
σήπη N
σήπω V
Σήρων Np
σής N
σητόβρωτον A
σῆψις N
Σηων Np
σθένος N
σθένω V
σιαγόνιον N
σιαγών N
Σιαν Np
Σιβα Np
σιβύνη N
σιγάω V
σιγή N
σιγηρός A
Σίδη Np
σιδήρεος A N
σιδήριον N
σιδηρόδεσμος A
σίδηρος N
Σιδών Np
Σιδώνιος Np
σίελον N
σίελος N
Σικελακ Np
Σικελεγ Np
σίκερα N
Σικιμ Np
Σίκιμα Np
Σικιμῖται Np
Σικιμος Np
σίκλος N
σικυήρατον N
σικύος N
Σικυών Np
Σιλαθα Np
Σιλᾶς Np
Σίλας Np
Σιλουανός Np
Σιλωάμ Np
Σίμων Np
Σιν Np
Σινᾶ Np
σινδών N
Σιουαν Np
Σιρ Np
Σιρα Np
Σιραχ Np
Σιρδαθα Np
σιρομάστης N
σιρώνων N
Σισαρα Np
Σισίννης Np
σισόη N
σιτέομαι V
σιτευτός A
σιτίον N
σιτοβολών N
σιτοδεία N
σιτοδοσία N
σιτομετρέω V
σιτοποιός A
σῖτος N
Σιφ Np
Σιών Np
Σιωνα Np
σιωπάω V
σιωπή N
σιώπησις N
Σιωρ Np
σκάλλω V
σκαμβή A
σκανδαλίζω V
σκάνδαλον N
σκάπτω V
σκάφη N
σκάφος N
σκεδιάζω V
σκελίζω V
σκέλος N
σκεπάζω V
σκεπάρνον N
σκεπάρνῳ N
σκέπασις N
σκεπαστής N
σκεπεινός N
σκέπη N
σκέπης N
σκέπτομαι V
σκευάζω V
Σκευᾶς Np
σκευασία N
σκευή N
σκεῦος N
σκηνή N
σκηνοπηγία N
σκῆνος N
σκηνόω V
σκήνωμα N
σκήνωσις N
σκῆπτρον N
σκιά N
σκιαγράφος N
σκιάδιον N
σκιάζω V
σκιρτάω V
σκιρτέω V
σκληρίαν N
σκληροκαρδία N
σκληροκάρδιος A
σκληρός A D
σκληρότης N
σκληροτράχηλος A
σκληρύνω V
σκληρῶς D
σκνίψ N
σκολιάζω V
σκολιός A N
σκολιότης N
σκολιῶς D
σκόλοψ N
σκόπελον N
σκοπεύω V
σκοπέω V
σκοπή N
σκοπιά N
σκοπός N
σκορακισμός N
σκόρδον N
σκορπίδιον N
σκορπίζω V
σκορπίος N
σκορπισμός N
σκοτάζω V
σκοτεινός A
σκοτία N
σκοτίζω V
σκοτομήνη N
σκότος N
σκοτόω V
σκυβαλίζω V
σκύβαλον N
Σκύθαι Np
Σκύθης Np
Σκυθοπολῖται Np
σκυθρωπάζω V
σκυθρωπός A
σκυθρωπῶς D
σκυλεία N
σκυλεύω V
σκυλμός N
σκῦλον N
σκύμνος N
σκυτάλη N
σκώληξ N
σκῶλον N
σκώπτω V
σμαραγδίτης N
σμάραγδος N
σμῆγμα N
σμικρύνω V
σμῖλαξ N
σμιρίτης N
Σμύρνα Np
σμύρνα N
Σμυρναῖος Np
σμύρνινος A
Σοβακ Np
Σοβαλ Np
Σοβνια Np
Σοβοχαι Np
Σόδομα Np
Σοδομῖται Np
Σοδομίτης Np
Σοδομων Np
Σοήνη Np
Σοκχωθ Np
Σοκχωθα Np
Σοκχωθβαινιθ Np
Σολομών Np
Σολομῶν Np
Σομα Np
Σομαρωθ Np
Σομε Np
Σομεα Np
Σομεϊς Np
Σομναν Np
Σομνας Np
Σομορων Np
σοομ A
Σορ Np
Σορε Np
Σορος Np
σορός N
σός A R
Σοσομαι Np
Σουα Np
Σουαλ Np
Σουβα Np
Σουβαηλ Np
Σουβαλ Np
Σουβας Np
Σουδ Np
Σουδι Np
Σουδίας Np
Σουε Np
Σουια Np
Σουλαμῖτις Np
Σουμαν Np
Σουναμ Np
Σουναν Np
Σουνι Np
Σουρ Np
Σουρι Np
Σουριηλ Np
Σουριν Np
Σουρισαδαι Np
Σουσά Np
Σουσακιμ Np
Σουσαν Np
Σουσαναχαῖοι Np
Σουσάννα Np
Σουσι Np
Σουσίτης Np
Σουταλα Np
Σουταλααμ Np
Σουταλαϊ Np
Σουτι Np
Σουφ Np
Σουφι Np
Σουφιρ Np
σοφία N
σοφίζω V
σοφιστής N
Σοφονίας Np
σοφός A
σοφῶς D
Σοχοχα Np
σπάδων N
σπαίρω V
Σπανία Np
σπανίζω V
σπάνιος A
σπάνις N
σπαράσσω V
σπάργανον N
σπαργανόω V
Σπάρτη Np
Σπαρτιᾶται Np
σπαρτίον N
σπασμός N
σπαταλάω V
σπατάλη N
σπάω V
σπεῖρα N
σπειρηδόν D
σπείρω V
σπένδω V
σπέρμα N
σπερματίζω V
σπερματισμός N
σπεύδω V
σπήλαιον N
σπιθαμή N
σπιλόω V
σπινθήρ N
σπλαγχνίζω V
σπλαγχνισμός N
σπλάγχνον N
σπλαγχνοφάγος A
σποδιά N
σποδοειδής A
σποδός N
σποδόω V
σπονδεῖον N
σπονδή N
σπόνδυλος N
σπορά N
σπόριμον A
σπόριμος A
σπόρος N
σπουδάζω V
σπουδαῖος A
σπουδαιότης N
σπουδαίως D
σπουδή N
σταγών N
στάδιον N
στάζω V
σταθμίον N
σταθμός N
σταθμπόω V
σταῖς N
στακτή N
σταλαγμός N
σταλάζω V
στάμνος N
στασιάζω V
στάσιμος A
στάσις N
σταυρόω V
σταφίς N
σταφυλή N
Στάχυς Np
στάχυς N
στέαρ N
στεατόομαι V
στεγάζω V
στέγη N
στεγνός A
στέγω V
στεῖρα N
στείρος N
στειρόω V
στέλεχος N
στέλλω V
στεμφυλόν N
στεναγμός N
στενάζω V
στενακτός A
στενός A
στενότητα N
στενοχωρέω V
στενοχωρία N A
στένω V
στενῶς D
στέργω V
στερεός A
στερεόω V
στερέωμα N
στερέωσις N
στερίσκω V
στέρνον N
Στεφανᾶς Np
στεφάνη N
στεφανηφορέω V
Στέφανος Np
στέφανος N
στεφανόω V
στεφάνω V
στέφος N
στέφω V
στηθοδεσμίς N
στῆθος N
στηθύνιον N
στήκω V
στήλη N
στηλογραφία N
στηλόω V
στήμων N
στῆρ N
στήριγμα N
στηρίζω V
στιβαρός A
στιβαρῶς D
στίβι N
στιβίζω V
στίγμα N
στιγμή N
στικτός A
στίλβω V
στίλβων N
στίλβωσις N
στιμίζω V
στίππινος N A
στιππύον N A
στιχίζω V
στίχος N
στοά N
στοιβάζω V
στοιβή N
Στοϊκός Np
στοιχεῖον N
στοιχείωσις N
στοιχέω V
στολή N
στολίζω V
στολισμός N
στολιστής N
στόλος N
στόμα N
στόμωμα N
στοργή N
στόρνυμι V
στοχάζομαι V
στοχάζω V
στοχαστής N
στραγγαλάομαι V
στραγγαλιά N
στραγγαλίς N
στραγγαλόομαι V
στραγγαλώδης A
στραγγίζω V
στρατεία N
στράτευμα N
στρατεύω V
στρατηγέω V
στρατήγημα N
στρατηγία N
στρατηγός N
στρατία N
στρατιώτης N
στρατιώτις N
στρατοκῆρυξ N
στρατοπεδεία N
στρατοπεδεύω V
στρατόπεδον N
στρατός N
στρέβλη N
στρεβλός A
στρεβλόω V
στρεβλωτήριον N
στρέμμα N
στρεπτός A
στρερέω V
στρέφω V
στρῆνος N
στρίφνος N
στροβέω V
στρογγύλον N
στρογγύλος A
στρουθίον N
στρουθός N
στροφεύς N
στροφή N
στρόφιγξ N
στρόφος N
στροφωτός A
στρῶμα N
στρωμνή N
στρώννυμι V
στυγέω V
στυγνάζω V
στυγνός A
στῦλος N
στυράκινος A
σύ R
Συβαϊ Np
συγγελάω V
συγγένεια N
συγγενής A
συγγενίς A
συγγίνομαι V
συγγινώσκω V
συγγνώμη N
συγγνωμονέω V
συγγνωστός A
συγγραφεύς N
συγγραφή N A
συγγράφω V
συγγυμνασία N
συγκάθημαι V
συγκαθίζω V
συγκαθυφαίνω V
συγκαίω V
συγκαλέω V
συγκάλυμμα N
συγκαλύπτω V
συγκάμπτω V
συγκαταβαίνω V
συγκαταγηράω V
συγκατακληρονομέομαι V
συγκαταμίγνυμι V
συγκατατίθεμαι V
συγκαταφέρω V
συγκατεσθίω V
σύγκειμαι V
συγκεντέω V
συγκεράννυμι V
συγκερατίζομαι V
συγκεραυνόω V
συγκλάζω V
συγκλαίω V
συγκλασμός N
συγκλάω V
σύγκλεισμα N
συγκλεισμός N
σύγκλειστον N
σύγκλειστος A
συγκλείω V
συγκληρονομέω V
σύγκλητος A
συγκλύζω V
συγκοίτος A
συγκολλάω V
συγκομίζω V
συγκόπτω V
σύγκρασις N
σύγκριμα N
συγκρίνω V
σύγκρισις N
συγκροτέω V
συγκρουσμός N
συγκρύπτω V
συγκρύφω V
συγκτίζω V
συγκύπτω V
συγκυρόω V
συγχαίρω V
συγχέω V
συγχρονίζω V
σύγχυσις N
συγχωρέω V
συγχωρητέον A
συζεύγνυμι V
συζηγής N
συζώννυμι V
Συήνη Np
συκάμινον N
συκάμινος N
συκῆ N
σῦκον M N
συκοφαντέω V
συκοφάντης N
συκοφαντία N
συκών N
συλάω V
συλλαλέω V
συλλαμβάνω V
συλλέγω V
Συλλημ Np
σύλληψις N
συλλογή N
συλλογίζομαι V
συλλογισμός N
συλλοιδορέω V
συλλοχάω V
συλλοχισμός N
συλλυπέω V
συλλύω V
