ἆ I
ἀλλοφυλισμός N
ἀλλόφυλος A N
ἀλλόφωνος A
Αλλωης Np
Αλλων Np
Αλλωνι Np
ἄλλως D
ἅλμα N
ἅλμη N
ἁλμυρίς N
ἁλμυρός A
ἀλοάω V
ἀλογέω V
ἀλογιστία N
ἀλόγιστος A
ἀλογίστως D
ἄλογος A
ἀλόγως D
Αλοηλ Np
ἀλοητός N
ἀλοιφή N
Αλουα Np
Αλουλ Np
ἅλς N
ἄλσος N
ἀλσώδης A N
Αλσωρηχ Np
ἁλυκός A
ἁλυσιδωτός A N
ἅλυσις N
αλφ N
Αλφααλ Np
Ἀλφαῖος Np
ἄλφιτον N
ἀλφός N
Αλωης Np
αλωθ N
ἅλων N
Αλωναμ Np
ἀλώπηξ N
ἅλωσις N
ἅμα D P
Αμαδ Np
Αμαδα Np
Αμαδαθος Np
Αμαδαθου Np
αμαδαρωθ N
Αμαδια Np
Αμαζονῖς Np
Αμαθ Np
Αμαθαρ Np
Αμαθι Np
ἀμαθία N
Ἁμαθῖτις Np
Αμαλ Np
Αμαληκ Np
Αμαληκίτης Np
Αμαληκίτος Np
Ἀμάλθεια Np
Αμαμ Np
Ἁμάν Np
Αμάνιτος Np
ἅμαξα N
Αμαρ Np
ἀμάραντος A
Αμαρι Np
Αμαρια Np
ἁμαρία N
Ἀμαρίας Np
ἁμαρτάνω V
ἁμάρτημα N
ἁμαρτία N
ἁμαρτωλός N A
Αμαρφαλ Np
Αμασαι Np
αμασενιθ N
ἀμάσητος A
Αμασι Np
Αμασια Np
Αμασιαν Np
Αμασιας Np
αματταρι N
ἀμαυρός A
ἀμαυρόω V
αμαφεθ N
ἀμάω V
Αμβακουμ Np
ἀμβλάκημα N
ἀμβλύνω V
ἀμβλυωπέω V
Αμβραμ Np
Αμβρι Np
ἀμβρόσιος A
ἀμέθυστος N
ἀμείδητος A
ἀμειξία N
Αμεκασις Np
Αμεκκασις Np
ἀμέλγω V
ἀμελέω V
ἄμελξις N
Αμελσαδ Np
ἀμελῶς D
ἄμεμπτος A
ἀμέμπτως D
ἀμερής A
ἀμέριμνος A
Αμεσσα Np
Αμεσσαϊ Np
Αμεσσια Np
Αμεσσιας Np
ἀμετάθετος A
ἀμέτρητος A
Αμηαχι Np
ἀμήν I
ἄμητος N
ἀμήχανος A
ἀμίαντος A
Αμιζαβαθ Np
Αμιηλ Np
Ἀμιναδάβ Np
Αμιουδ Np
Αμισαδαι Np
ἀμισθί D
Αμιτααλ Np
Αμιταλ Np
Αμμα Np
Αμμαδι Np
Αμμαθαριμ Np
Αμμαν Np
Αμμανείτης Np
ἀμμανείτης N
Αμμανιθ Np
Αμμανῖται Np
Αμμανίτην Np
Αμμανίτης Np
